dataset,meanF,maxF,wF,MAE,Em,Sm,count,skipped
VT821,0.8828414737649738,0.903136981003477,0.8738758395504295,0.025217711572178506,0.9314244910887891,0.9095308903710682,821,0
VT1000,0.9352096231196165,0.9444153627356582,0.9336469937177554,0.012931039025001265,0.9550415344059732,0.9425630142911156,1000,0
VT5000/Test,0.9095992737847498,0.9252863036271104,0.897888141315585,0.020199593622766965,0.9503497298345371,0.9207379063553383,2500,0
Average,0.9092167902231134,0.9242795491220819,0.90180365819459,0.01944944807331558,0.9456052517764331,0.9242772703391741,4321,0
